,type,type2,type3,batch,condition
FA06.N,0,1,0,0,LT
FA10.N,0,1,0,0,LT
FTC01.N,0,1,0,0,LT
FTC13.N,0,1,0,0,LT
FTC14.N,0,1,0,0,LT
FTC22.N,0,1,0,0,LT
FTC25.N,0,1,0,0,LT
FA01.N,0,0,0,0,No_LT
FA02.N,0,0,0,0,No_LT
FA03.N,0,0,0,0,No_LT
FA04.N,0,0,0,0,No_LT
FA05.N,0,0,0,0,No_LT
FA07.N,0,0,0,0,No_LT
FA08.N,0,0,0,0,No_LT
FA09.N,0,0,0,0,No_LT
FA12.N,0,0,0,0,No_LT
FA16.N,0,0,0,0,No_LT
FA17.N,0,0,0,0,No_LT
FA18.N,0,0,0,0,No_LT
FA19.N,0,0,0,0,No_LT
FA20.N,0,0,0,0,No_LT
FA21.N,0,0,0,0,No_LT
FA22.N,0,0,0,0,No_LT
FTC03.N,0,0,0,0,No_LT
FTC05.N,0,0,0,0,No_LT
FTC08.N,0,0,0,0,No_LT
FTC09.N,0,0,0,0,No_LT
FTC10.N,0,0,0,0,No_LT
FTC11.N,0,0,0,0,No_LT
FTC12.N,0,0,0,0,No_LT
FTC15.N,0,0,0,0,No_LT
FTC16.N,0,0,0,0,No_LT
FTC17.N,0,0,0,0,No_LT
FTC18.N,0,0,0,0,No_LT
FTC20.N,0,0,0,0,No_LT
FTC23.N,0,0,0,0,No_LT
FTC24.N,0,0,0,0,No_LT
FA01,1,2,1,0,FA
FA02,1,2,1,0,FA
FA03,1,2,1,0,FA
FA04,1,2,1,0,FA
FA05,1,2,1,0,FA
FA06,1,2,1,0,FA
FA07,1,2,1,0,FA
FA08,1,2,1,0,FA
FA09,1,2,1,0,FA
FA10,1,2,1,0,FA
FA11,1,3,2,0,HA
FA12,1,3,2,0,HA
FA13,1,2,1,0,FA
FA14,1,2,1,0,FA
FA15,1,2,1,0,FA
FA16,1,2,1,0,FA
FA17,1,2,1,0,FA
FA18,1,3,2,0,HA
FA19,1,2,1,0,FA
FA20,1,2,1,0,FA
FA21,1,2,1,0,FA
FA22,1,2,1,0,FA
FA23,1,2,1,0,FA
FA24,1,2,1,0,FA
FA25,1,2,1,0,FA
FTC01,2,4,1,0,miFTC
FTC02,2,4,1,0,miFTC
FTC03,2,4,1,0,miFTC
FTC04,2,4,1,0,miFTC
FTC05,2,4,1,0,miFTC
FTC06,2,4,1,0,miFTC
FTC07,2,5,2,0,miHCC
FTC08,2,4,1,0,miFTC
FTC09,2,4,1,0,miFTC
FTC10,2,4,1,0,miFTC
FTC11,2,4,1,0,miFTC
FTC12,2,4,1,0,miFTC
FTC13,2,4,1,0,miFTC
FTC14,2,4,1,0,miFTC
FTC15,2,4,1,0,miFTC
FTC16,2,4,1,0,miFTC
FTC17,2,4,1,0,miFTC
FTC18,2,5,2,0,miHCC
FTC19,2,5,2,0,miHCC
FTC20,2,4,1,0,miFTC
FTC21,2,4,1,0,miFTC
FTC22,2,4,1,0,miFTC
FTC23,2,4,1,0,miFTC
FTC24,2,4,1,0,miFTC
FTC25,2,4,1,0,miFTC
FTC26,2,4,1,0,miFTC
FTC27,2,4,1,0,miFTC
FTC28,2,4,1,0,miFTC
FTC29,2,4,1,0,miFTC
FTC30,2,4,1,0,miFTC
ATC3,2,6,3,1,wiFTC
wiFTC03,2,6,3,1,wiFTC
wiFTC09,2,6,3,1,wiFTC
wiFTC06,2,6,3,1,wiFTC
wiFTC07,2,6,3,1,wiFTC
wiFTC08,2,4,1,1,miFTC
wiFTC10,2,7,4,1,wiHCC
wiFTC04,2,6,3,1,wiFTC
wiFTC02,2,6,3,1,wiFTC
wiFTC05,2,6,3,1,wiFTC
wiHCC_1,2,7,4,2,wiHCC
wiHCC_2,2,7,4,2,wiHCC
wiHCC_3,2,7,4,2,wiHCC
wiHCC_4,2,7,4,2,wiHCC
wiHCC_6,2,7,4,2,wiHCC
wiHCC_7,2,7,4,2,wiHCC
wiHCC_8,2,7,4,2,wiHCC
wiHCC_9,2,7,4,2,wiHCC
wiHCC_10,2,7,4,2,wiHCC
miHCC_11,2,5,2,2,miHCC
miHCC_13,2,5,2,2,miHCC
miHCC_14,2,5,2,2,miHCC
miHCC_15,2,5,2,2,miHCC
miHCC_16,2,5,2,2,miHCC
miHCC_17,2,5,2,2,miHCC
miHCC_18,2,5,2,2,miHCC
miHCC_20,2,5,2,2,miHCC
wiHCC_21,2,7,4,2,wiHCC
miHCC_22,2,5,2,2,miHCC
miHCC_23,2,5,2,2,miHCC
miHCC_24,2,5,2,2,miHCC
miHCC_25,2,5,2,2,miHCC
miHCC_26,2,5,2,2,miHCC
miHCC_27,2,5,2,2,miHCC
miHCC_28,2,5,2,2,miHCC
miHCC_29,2,5,2,2,miHCC
miHCC_30,2,5,2,2,miHCC
wiHCC_31,2,7,4,2,wiHCC
wiHCC_32,2,7,4,2,wiHCC
wiHCC_33,2,7,4,2,wiHCC
wiHCC_34,2,7,4,2,wiHCC
miHCC_35,2,5,2,2,miHCC
wiHCC_36,2,7,4,2,wiHCC
wiHCC_37,2,7,4,2,wiHCC
miHCC_38,2,5,2,2,miHCC
miHCC_39,2,5,2,2,miHCC
wiHCC_40,2,7,4,2,wiHCC
miHCC_41,2,5,2,2,miHCC
miHCC_42,2,5,2,2,miHCC
wiHCC_43,2,7,4,2,wiHCC
wiHCC_44,2,7,4,2,wiHCC
wiHCC_45,2,7,4,2,wiHCC
wiHCC_48,2,7,4,2,wiHCC
wiHCC_49,2,7,4,2,wiHCC
wiHCC_50,2,7,4,2,wiHCC
wiHCC_51,2,7,4,2,wiHCC
wiHCC_52,2,7,4,2,wiHCC
miHCC_53,2,5,2,2,miHCC
miHCC_54,2,5,2,2,miHCC